Pair,Date,N,Week,Month,Year,Recorders
Pair A,5/19/2022,8,20,5,2022,NE01 and NE02
Pair A,5/20/2022,8,20,5,2022,NE01 and NE02
Pair A,5/21/2022,8,20,5,2022,NE01 and NE02
Pair A,5/22/2022,8,20,5,2022,NE01 and NE02
Pair A,5/23/2022,8,21,5,2022,NE01 and NE02
Pair A,5/24/2022,8,21,5,2022,NE01 and NE02
Pair A,5/25/2022,8,21,5,2022,NE01 and NE02
Pair A,5/26/2022,8,21,5,2022,NE01 and NE02
Pair A,5/27/2022,8,21,5,2022,NE01 and NE02
Pair A,5/28/2022,8,21,5,2022,NE01 and NE02
Pair A,5/30/2022,8,22,5,2022,NE01 and NE02
Pair A,6/22/2022,8,25,6,2022,NE01 and NE02
Pair A,6/26/2022,8,25,6,2022,NE01 and NE02
Pair A,6/27/2022,8,26,6,2022,NE01 and NE02
Pair A,7/4/2022,8,27,7,2022,NE01 and NE02
Pair A,9/2/2022,8,35,9,2022,NE01 and NE02
Pair A,3/21/2023,8,12,3,2023,NE01 and NE02
Pair A,3/22/2023,8,12,3,2023,NE01 and NE02
Pair A,3/23/2023,8,12,3,2023,NE01 and NE02
Pair A,3/24/2023,8,12,3,2023,NE01 and NE02
Pair A,3/25/2023,8,12,3,2023,NE01 and NE02
Pair A,3/26/2023,8,12,3,2023,NE01 and NE02
Pair A,3/27/2023,8,13,3,2023,NE01 and NE02
Pair A,3/28/2023,8,13,3,2023,NE01 and NE02
Pair A,3/30/2023,8,13,3,2023,NE01 and NE02
Pair A,4/1/2023,8,13,4,2023,NE01 and NE02
Pair A,4/2/2023,8,13,4,2023,NE01 and NE02
Pair A,4/3/2023,8,14,4,2023,NE01 and NE02
Pair A,4/5/2023,8,14,4,2023,NE01 and NE02
Pair A,4/6/2023,8,14,4,2023,NE01 and NE02
Pair A,4/7/2023,8,14,4,2023,NE01 and NE02
Pair A,4/8/2023,8,14,4,2023,NE01 and NE02
Pair A,4/9/2023,8,14,4,2023,NE01 and NE02
Pair A,4/10/2023,8,15,4,2023,NE01 and NE02
Pair A,4/11/2023,8,15,4,2023,NE01 and NE02
Pair A,4/13/2023,8,15,4,2023,NE01 and NE02
Pair A,4/15/2023,8,15,4,2023,NE01 and NE02
Pair A,4/16/2023,8,15,4,2023,NE01 and NE02
Pair A,4/17/2023,8,16,4,2023,NE01 and NE02
Pair A,4/18/2023,8,16,4,2023,NE01 and NE02
Pair A,4/19/2023,8,16,4,2023,NE01 and NE02
Pair A,4/20/2023,8,16,4,2023,NE01 and NE02
Pair A,4/21/2023,8,16,4,2023,NE01 and NE02
Pair A,4/22/2023,8,16,4,2023,NE01 and NE02
Pair A,4/23/2023,8,16,4,2023,NE01 and NE02
Pair A,4/24/2023,8,17,4,2023,NE01 and NE02
Pair A,4/25/2023,8,17,4,2023,NE01 and NE02
Pair A,4/26/2023,8,17,4,2023,NE01 and NE02
Pair A,4/27/2023,8,17,4,2023,NE01 and NE02
Pair A,4/28/2023,8,17,4,2023,NE01 and NE02
Pair A,4/29/2023,8,17,4,2023,NE01 and NE02
Pair A,4/30/2023,8,17,4,2023,NE01 and NE02
Pair A,5/1/2023,8,18,5,2023,NE01 and NE02
Pair A,5/2/2023,8,18,5,2023,NE01 and NE02
Pair A,5/3/2023,8,18,5,2023,NE01 and NE02
Pair A,5/4/2023,8,18,5,2023,NE01 and NE02
Pair A,5/5/2023,8,18,5,2023,NE01 and NE02
Pair A,5/6/2023,8,18,5,2023,NE01 and NE02
Pair A,5/7/2023,8,18,5,2023,NE01 and NE02
Pair A,5/8/2023,8,19,5,2023,NE01 and NE02
Pair A,5/9/2023,8,19,5,2023,NE01 and NE02
Pair A,5/11/2023,8,19,5,2023,NE01 and NE02
Pair A,5/12/2023,8,19,5,2023,NE01 and NE02
Pair A,5/13/2023,8,19,5,2023,NE01 and NE02
Pair A,5/14/2023,8,19,5,2023,NE01 and NE02
Pair A,5/15/2023,8,20,5,2023,NE01 and NE02
Pair A,5/16/2023,8,20,5,2023,NE01 and NE02
Pair A,5/17/2023,8,20,5,2023,NE01 and NE02
Pair A,5/18/2023,8,20,5,2023,NE01 and NE02
Pair A,5/19/2023,8,20,5,2023,NE01 and NE02
Pair A,5/20/2023,8,20,5,2023,NE01 and NE02
Pair A,5/21/2023,8,20,5,2023,NE01 and NE02
Pair A,5/22/2023,8,21,5,2023,NE01 and NE02
Pair A,5/23/2023,8,21,5,2023,NE01 and NE02
Pair A,5/24/2023,8,21,5,2023,NE01 and NE02
Pair A,5/25/2023,8,21,5,2023,NE01 and NE02
Pair A,5/27/2023,8,21,5,2023,NE01 and NE02
Pair A,5/28/2023,8,21,5,2023,NE01 and NE02
Pair A,5/30/2023,8,22,5,2023,NE01 and NE02
Pair A,5/31/2023,8,22,5,2023,NE01 and NE02
Pair A,6/1/2023,8,22,6,2023,NE01 and NE02
Pair A,6/2/2023,8,22,6,2023,NE01 and NE02
Pair A,6/14/2023,8,24,6,2023,NE01 and NE02
Pair A,6/15/2023,8,24,6,2023,NE01 and NE02
Pair A,6/16/2023,8,24,6,2023,NE01 and NE02
Pair A,6/27/2023,8,26,6,2023,NE01 and NE02
Pair A,6/28/2023,8,26,6,2023,NE01 and NE02
Pair A,6/30/2023,8,26,6,2023,NE01 and NE02
Pair A,7/1/2023,8,26,7,2023,NE01 and NE02
Pair A,7/2/2023,8,26,7,2023,NE01 and NE02
Pair A,7/3/2023,8,27,7,2023,NE01 and NE02
Pair A,7/4/2023,8,27,7,2023,NE01 and NE02
Pair A,7/6/2023,8,27,7,2023,NE01 and NE02
Pair A,7/7/2023,8,27,7,2023,NE01 and NE02
Pair A,7/8/2023,8,27,7,2023,NE01 and NE02
Pair A,7/11/2023,8,28,7,2023,NE01 and NE02
Pair A,7/12/2023,8,28,7,2023,NE01 and NE02
Pair A,7/16/2023,8,28,7,2023,NE01 and NE02
Pair A,7/17/2023,8,29,7,2023,NE01 and NE02
Pair A,7/22/2023,8,29,7,2023,NE01 and NE02
Pair A,7/23/2023,8,29,7,2023,NE01 and NE02
Pair A,8/7/2023,8,32,8,2023,NE01 and NE02
Pair B,3/18/2022,8,11,3,2022,NE03 and NE04
Pair B,3/19/2022,8,11,3,2022,NE03 and NE04
Pair B,3/24/2022,8,12,3,2022,NE03 and NE04
Pair B,3/25/2022,8,12,3,2022,NE03 and NE04
Pair B,3/26/2022,8,12,3,2022,NE03 and NE04
Pair B,3/27/2022,8,12,3,2022,NE03 and NE04
Pair B,3/28/2022,8,13,3,2022,NE03 and NE04
Pair B,3/31/2022,8,13,3,2022,NE03 and NE04
Pair B,4/1/2022,8,13,4,2022,NE03 and NE04
Pair B,4/2/2022,8,13,4,2022,NE03 and NE04
Pair B,4/3/2022,8,13,4,2022,NE03 and NE04
Pair B,4/4/2022,8,14,4,2022,NE03 and NE04
Pair B,4/5/2022,8,14,4,2022,NE03 and NE04
Pair B,4/6/2022,8,14,4,2022,NE03 and NE04
Pair B,4/8/2022,8,14,4,2022,NE03 and NE04
Pair B,4/9/2022,8,14,4,2022,NE03 and NE04
Pair B,4/11/2022,8,15,4,2022,NE03 and NE04
Pair B,4/13/2022,8,15,4,2022,NE03 and NE04
Pair B,4/14/2022,8,15,4,2022,NE03 and NE04
Pair B,4/15/2022,8,15,4,2022,NE03 and NE04
Pair B,4/16/2022,8,15,4,2022,NE03 and NE04
Pair B,4/17/2022,8,15,4,2022,NE03 and NE04
Pair B,4/18/2022,8,16,4,2022,NE03 and NE04
Pair B,4/19/2022,8,16,4,2022,NE03 and NE04
Pair B,4/20/2022,8,16,4,2022,NE03 and NE04
Pair B,4/21/2022,8,16,4,2022,NE03 and NE04
Pair B,4/24/2022,8,16,4,2022,NE03 and NE04
Pair B,4/25/2022,8,17,4,2022,NE03 and NE04
Pair B,4/26/2022,8,17,4,2022,NE03 and NE04
Pair B,4/27/2022,8,17,4,2022,NE03 and NE04
Pair B,4/28/2022,8,17,4,2022,NE03 and NE04
Pair B,4/29/2022,8,17,4,2022,NE03 and NE04
Pair B,5/1/2022,8,17,5,2022,NE03 and NE04
Pair B,5/3/2022,8,18,5,2022,NE03 and NE04
Pair B,5/4/2022,8,18,5,2022,NE03 and NE04
Pair B,5/5/2022,8,18,5,2022,NE03 and NE04
Pair B,5/6/2022,8,18,5,2022,NE03 and NE04
Pair B,5/7/2022,8,18,5,2022,NE03 and NE04
Pair B,5/8/2022,8,18,5,2022,NE03 and NE04
Pair B,5/9/2022,8,19,5,2022,NE03 and NE04
Pair B,5/10/2022,8,19,5,2022,NE03 and NE04
Pair B,5/12/2022,8,19,5,2022,NE03 and NE04
Pair B,5/13/2022,8,19,5,2022,NE03 and NE04
Pair B,5/14/2022,8,19,5,2022,NE03 and NE04
Pair B,5/15/2022,8,19,5,2022,NE03 and NE04
Pair B,5/16/2022,8,20,5,2022,NE03 and NE04
Pair B,5/17/2022,8,20,5,2022,NE03 and NE04
Pair B,5/18/2022,8,20,5,2022,NE03 and NE04
Pair B,5/20/2022,8,20,5,2022,NE03 and NE04
Pair B,5/21/2022,8,20,5,2022,NE03 and NE04
Pair B,5/22/2022,8,20,5,2022,NE03 and NE04
Pair B,5/23/2022,8,21,5,2022,NE03 and NE04
Pair B,5/24/2022,8,21,5,2022,NE03 and NE04
Pair B,5/25/2022,8,21,5,2022,NE03 and NE04
Pair B,5/26/2022,8,21,5,2022,NE03 and NE04
Pair B,5/27/2022,8,21,5,2022,NE03 and NE04
Pair B,6/1/2022,8,22,6,2022,NE03 and NE04
Pair B,6/2/2022,8,22,6,2022,NE03 and NE04
Pair B,6/3/2022,8,22,6,2022,NE03 and NE04
Pair B,6/4/2022,8,22,6,2022,NE03 and NE04
Pair B,6/5/2022,8,22,6,2022,NE03 and NE04
Pair B,6/6/2022,8,23,6,2022,NE03 and NE04
Pair B,6/7/2022,8,23,6,2022,NE03 and NE04
Pair B,6/8/2022,8,23,6,2022,NE03 and NE04
Pair B,6/9/2022,8,23,6,2022,NE03 and NE04
Pair B,6/10/2022,8,23,6,2022,NE03 and NE04
Pair B,6/11/2022,8,23,6,2022,NE03 and NE04
Pair B,6/12/2022,8,23,6,2022,NE03 and NE04
Pair B,6/13/2022,8,24,6,2022,NE03 and NE04
Pair B,6/14/2022,8,24,6,2022,NE03 and NE04
Pair B,6/15/2022,8,24,6,2022,NE03 and NE04
Pair B,6/16/2022,8,24,6,2022,NE03 and NE04
Pair B,6/17/2022,8,24,6,2022,NE03 and NE04
Pair B,6/18/2022,8,24,6,2022,NE03 and NE04
Pair B,6/19/2022,8,24,6,2022,NE03 and NE04
Pair B,6/20/2022,8,25,6,2022,NE03 and NE04
Pair B,6/21/2022,8,25,6,2022,NE03 and NE04
Pair B,6/22/2022,8,25,6,2022,NE03 and NE04
Pair B,6/23/2022,8,25,6,2022,NE03 and NE04
Pair B,6/25/2022,8,25,6,2022,NE03 and NE04
Pair B,6/26/2022,8,25,6,2022,NE03 and NE04
Pair B,6/27/2022,8,26,6,2022,NE03 and NE04
Pair B,6/28/2022,8,26,6,2022,NE03 and NE04
Pair B,6/29/2022,8,26,6,2022,NE03 and NE04
Pair B,6/30/2022,8,26,6,2022,NE03 and NE04
Pair B,7/1/2022,8,26,7,2022,NE03 and NE04
Pair B,7/2/2022,8,26,7,2022,NE03 and NE04
Pair B,7/3/2022,8,26,7,2022,NE03 and NE04
Pair B,7/4/2022,8,27,7,2022,NE03 and NE04
Pair B,7/6/2022,8,27,7,2022,NE03 and NE04
Pair B,7/7/2022,8,27,7,2022,NE03 and NE04
Pair B,7/8/2022,8,27,7,2022,NE03 and NE04
Pair B,7/9/2022,8,27,7,2022,NE03 and NE04
Pair B,7/11/2022,8,28,7,2022,NE03 and NE04
Pair B,7/12/2022,8,28,7,2022,NE03 and NE04
Pair B,7/13/2022,8,28,7,2022,NE03 and NE04
Pair B,7/14/2022,8,28,7,2022,NE03 and NE04
Pair B,7/15/2022,8,28,7,2022,NE03 and NE04
Pair B,7/16/2022,8,28,7,2022,NE03 and NE04
Pair B,7/17/2022,8,28,7,2022,NE03 and NE04
Pair B,7/18/2022,8,29,7,2022,NE03 and NE04
Pair B,7/20/2022,8,29,7,2022,NE03 and NE04
Pair B,8/6/2022,8,31,8,2022,NE03 and NE04
Pair B,8/9/2022,8,32,8,2022,NE03 and NE04
Pair B,8/10/2022,8,32,8,2022,NE03 and NE04
Pair B,8/12/2022,8,32,8,2022,NE03 and NE04
Pair B,8/13/2022,8,32,8,2022,NE03 and NE04
Pair B,3/21/2023,8,12,3,2023,NE03 and NE04
Pair B,3/22/2023,8,12,3,2023,NE03 and NE04
Pair B,3/23/2023,8,12,3,2023,NE03 and NE04
Pair B,3/24/2023,8,12,3,2023,NE03 and NE04
Pair B,3/26/2023,8,12,3,2023,NE03 and NE04
Pair B,3/27/2023,8,13,3,2023,NE03 and NE04
Pair B,3/29/2023,8,13,3,2023,NE03 and NE04
Pair B,3/30/2023,8,13,3,2023,NE03 and NE04
Pair B,3/31/2023,8,13,3,2023,NE03 and NE04
Pair B,4/1/2023,8,13,4,2023,NE03 and NE04
Pair B,4/2/2023,8,13,4,2023,NE03 and NE04
Pair B,4/3/2023,8,14,4,2023,NE03 and NE04
Pair B,4/5/2023,8,14,4,2023,NE03 and NE04
Pair B,4/6/2023,8,14,4,2023,NE03 and NE04
Pair B,4/7/2023,8,14,4,2023,NE03 and NE04
Pair B,4/8/2023,8,14,4,2023,NE03 and NE04
Pair B,4/9/2023,8,14,4,2023,NE03 and NE04
Pair B,4/10/2023,8,15,4,2023,NE03 and NE04
Pair B,4/11/2023,8,15,4,2023,NE03 and NE04
Pair B,4/12/2023,8,15,4,2023,NE03 and NE04
Pair B,4/13/2023,8,15,4,2023,NE03 and NE04
Pair B,4/15/2023,8,15,4,2023,NE03 and NE04
Pair B,4/16/2023,8,15,4,2023,NE03 and NE04
Pair B,4/17/2023,8,16,4,2023,NE03 and NE04
Pair B,4/18/2023,8,16,4,2023,NE03 and NE04
Pair B,4/20/2023,8,16,4,2023,NE03 and NE04
Pair B,4/21/2023,8,16,4,2023,NE03 and NE04
Pair B,4/22/2023,8,16,4,2023,NE03 and NE04
Pair B,4/23/2023,8,16,4,2023,NE03 and NE04
Pair B,4/24/2023,8,17,4,2023,NE03 and NE04
Pair B,4/25/2023,8,17,4,2023,NE03 and NE04
Pair B,4/26/2023,8,17,4,2023,NE03 and NE04
Pair B,4/27/2023,8,17,4,2023,NE03 and NE04
Pair B,4/29/2023,8,17,4,2023,NE03 and NE04
Pair B,4/30/2023,8,17,4,2023,NE03 and NE04
Pair B,5/1/2023,8,18,5,2023,NE03 and NE04
Pair B,5/2/2023,8,18,5,2023,NE03 and NE04
Pair B,5/3/2023,8,18,5,2023,NE03 and NE04
Pair B,5/4/2023,8,18,5,2023,NE03 and NE04
Pair B,5/5/2023,8,18,5,2023,NE03 and NE04
Pair B,5/6/2023,8,18,5,2023,NE03 and NE04
Pair B,5/7/2023,8,18,5,2023,NE03 and NE04
Pair B,5/8/2023,8,19,5,2023,NE03 and NE04
Pair B,5/9/2023,8,19,5,2023,NE03 and NE04
Pair B,5/10/2023,8,19,5,2023,NE03 and NE04
Pair B,5/11/2023,8,19,5,2023,NE03 and NE04
Pair B,5/12/2023,8,19,5,2023,NE03 and NE04
Pair B,5/13/2023,8,19,5,2023,NE03 and NE04
Pair B,5/14/2023,8,19,5,2023,NE03 and NE04
Pair B,5/15/2023,8,20,5,2023,NE03 and NE04
Pair B,5/16/2023,8,20,5,2023,NE03 and NE04
Pair B,5/17/2023,8,20,5,2023,NE03 and NE04
Pair B,5/18/2023,8,20,5,2023,NE03 and NE04
Pair B,5/19/2023,8,20,5,2023,NE03 and NE04
Pair B,5/20/2023,8,20,5,2023,NE03 and NE04
Pair B,5/21/2023,8,20,5,2023,NE03 and NE04
Pair B,5/22/2023,8,21,5,2023,NE03 and NE04
Pair B,5/23/2023,8,21,5,2023,NE03 and NE04
Pair B,5/24/2023,8,21,5,2023,NE03 and NE04
Pair B,5/25/2023,8,21,5,2023,NE03 and NE04
Pair B,5/26/2023,8,21,5,2023,NE03 and NE04
Pair B,5/27/2023,8,21,5,2023,NE03 and NE04
Pair B,5/28/2023,8,21,5,2023,NE03 and NE04
Pair B,5/30/2023,8,22,5,2023,NE03 and NE04
Pair B,5/31/2023,8,22,5,2023,NE03 and NE04
Pair B,6/8/2023,8,23,6,2023,NE03 and NE04
Pair B,6/10/2023,8,23,6,2023,NE03 and NE04
Pair B,6/18/2023,8,24,6,2023,NE03 and NE04
Pair B,6/19/2023,8,25,6,2023,NE03 and NE04
Pair B,6/20/2023,8,25,6,2023,NE03 and NE04
Pair B,6/21/2023,8,25,6,2023,NE03 and NE04
Pair B,6/22/2023,8,25,6,2023,NE03 and NE04
Pair B,6/26/2023,8,26,6,2023,NE03 and NE04
Pair B,6/27/2023,8,26,6,2023,NE03 and NE04
Pair B,6/28/2023,8,26,6,2023,NE03 and NE04
Pair B,7/6/2023,8,27,7,2023,NE03 and NE04
Pair B,7/9/2023,8,27,7,2023,NE03 and NE04
Pair B,7/11/2023,8,28,7,2023,NE03 and NE04
Pair B,7/13/2023,8,28,7,2023,NE03 and NE04
Pair B,7/20/2023,8,29,7,2023,NE03 and NE04
Pair B,7/21/2023,8,29,7,2023,NE03 and NE04
Pair B,7/23/2023,8,29,7,2023,NE03 and NE04
Pair B,7/24/2023,8,30,7,2023,NE03 and NE04
Pair C,3/16/2022,8,11,3,2022,NE05 and NE06
Pair C,3/17/2022,8,11,3,2022,NE05 and NE06
Pair C,3/18/2022,8,11,3,2022,NE05 and NE06
Pair C,3/19/2022,8,11,3,2022,NE05 and NE06
Pair C,3/20/2022,8,11,3,2022,NE05 and NE06
Pair C,3/22/2022,8,12,3,2022,NE05 and NE06
Pair C,3/24/2022,8,12,3,2022,NE05 and NE06
Pair C,3/25/2022,8,12,3,2022,NE05 and NE06
Pair C,3/26/2022,8,12,3,2022,NE05 and NE06
Pair C,3/27/2022,8,12,3,2022,NE05 and NE06
Pair C,3/28/2022,8,13,3,2022,NE05 and NE06
Pair C,3/30/2022,8,13,3,2022,NE05 and NE06
Pair C,3/31/2022,8,13,3,2022,NE05 and NE06
Pair C,4/1/2022,8,13,4,2022,NE05 and NE06
Pair C,4/2/2022,8,13,4,2022,NE05 and NE06
Pair C,4/3/2022,8,13,4,2022,NE05 and NE06
Pair C,4/5/2022,8,14,4,2022,NE05 and NE06
Pair C,4/8/2022,8,14,4,2022,NE05 and NE06
Pair C,4/9/2022,8,14,4,2022,NE05 and NE06
Pair C,4/11/2022,8,15,4,2022,NE05 and NE06
Pair C,4/13/2022,8,15,4,2022,NE05 and NE06
Pair C,4/14/2022,8,15,4,2022,NE05 and NE06
Pair C,4/15/2022,8,15,4,2022,NE05 and NE06
Pair C,4/18/2022,8,16,4,2022,NE05 and NE06
Pair C,4/25/2022,8,17,4,2022,NE05 and NE06
Pair C,4/26/2022,8,17,4,2022,NE05 and NE06
Pair C,4/27/2022,8,17,4,2022,NE05 and NE06
Pair C,4/28/2022,8,17,4,2022,NE05 and NE06
Pair C,4/29/2022,8,17,4,2022,NE05 and NE06
Pair C,5/1/2022,8,17,5,2022,NE05 and NE06
Pair C,5/3/2022,8,18,5,2022,NE05 and NE06
Pair C,5/4/2022,8,18,5,2022,NE05 and NE06
Pair C,5/5/2022,8,18,5,2022,NE05 and NE06
Pair C,5/6/2022,8,18,5,2022,NE05 and NE06
Pair C,5/7/2022,8,18,5,2022,NE05 and NE06
Pair C,5/8/2022,8,18,5,2022,NE05 and NE06
Pair C,5/9/2022,8,19,5,2022,NE05 and NE06
Pair C,5/10/2022,8,19,5,2022,NE05 and NE06
Pair C,5/11/2022,8,19,5,2022,NE05 and NE06
Pair C,5/12/2022,8,19,5,2022,NE05 and NE06
Pair C,5/13/2022,8,19,5,2022,NE05 and NE06
Pair C,5/14/2022,8,19,5,2022,NE05 and NE06
Pair C,5/15/2022,8,19,5,2022,NE05 and NE06
Pair C,5/16/2022,8,20,5,2022,NE05 and NE06
Pair C,5/17/2022,8,20,5,2022,NE05 and NE06
Pair C,5/18/2022,8,20,5,2022,NE05 and NE06
Pair C,5/20/2022,8,20,5,2022,NE05 and NE06
Pair C,5/21/2022,8,20,5,2022,NE05 and NE06
Pair C,5/22/2022,8,20,5,2022,NE05 and NE06
Pair C,5/23/2022,8,21,5,2022,NE05 and NE06
Pair C,5/24/2022,8,21,5,2022,NE05 and NE06
Pair C,5/25/2022,8,21,5,2022,NE05 and NE06
Pair C,5/26/2022,8,21,5,2022,NE05 and NE06
Pair C,5/27/2022,8,21,5,2022,NE05 and NE06
Pair C,5/28/2022,8,21,5,2022,NE05 and NE06
Pair C,8/5/2022,8,31,8,2022,NE05 and NE06
Pair C,8/6/2022,8,31,8,2022,NE05 and NE06
Pair C,8/7/2022,8,31,8,2022,NE05 and NE06
Pair C,8/8/2022,8,32,8,2022,NE05 and NE06
Pair C,3/21/2023,8,12,3,2023,NE05 and NE06
Pair C,3/22/2023,8,12,3,2023,NE05 and NE06
Pair C,3/23/2023,8,12,3,2023,NE05 and NE06
Pair C,3/24/2023,8,12,3,2023,NE05 and NE06
Pair C,3/26/2023,8,12,3,2023,NE05 and NE06
Pair C,3/27/2023,8,13,3,2023,NE05 and NE06
Pair C,3/28/2023,8,13,3,2023,NE05 and NE06
Pair C,3/29/2023,8,13,3,2023,NE05 and NE06
Pair C,3/30/2023,8,13,3,2023,NE05 and NE06
Pair C,4/1/2023,8,13,4,2023,NE05 and NE06
Pair C,4/2/2023,8,13,4,2023,NE05 and NE06
Pair C,4/3/2023,8,14,4,2023,NE05 and NE06
Pair C,4/4/2023,8,14,4,2023,NE05 and NE06
Pair C,4/5/2023,8,14,4,2023,NE05 and NE06
Pair C,4/6/2023,8,14,4,2023,NE05 and NE06
Pair C,4/7/2023,8,14,4,2023,NE05 and NE06
Pair C,4/8/2023,8,14,4,2023,NE05 and NE06
Pair C,4/9/2023,8,14,4,2023,NE05 and NE06
Pair C,4/10/2023,8,15,4,2023,NE05 and NE06
Pair C,4/11/2023,8,15,4,2023,NE05 and NE06
Pair C,4/12/2023,8,15,4,2023,NE05 and NE06
Pair C,4/13/2023,8,15,4,2023,NE05 and NE06
Pair C,4/14/2023,8,15,4,2023,NE05 and NE06
Pair C,4/15/2023,8,15,4,2023,NE05 and NE06
Pair C,4/29/2023,8,17,4,2023,NE05 and NE06
Pair C,4/30/2023,8,17,4,2023,NE05 and NE06
Pair C,5/1/2023,8,18,5,2023,NE05 and NE06
Pair C,5/2/2023,8,18,5,2023,NE05 and NE06
Pair C,5/3/2023,8,18,5,2023,NE05 and NE06
Pair C,5/4/2023,8,18,5,2023,NE05 and NE06
Pair C,5/5/2023,8,18,5,2023,NE05 and NE06
Pair C,5/6/2023,8,18,5,2023,NE05 and NE06
Pair C,5/7/2023,8,18,5,2023,NE05 and NE06
Pair C,5/8/2023,8,19,5,2023,NE05 and NE06
Pair C,5/9/2023,8,19,5,2023,NE05 and NE06
Pair C,6/2/2023,8,22,6,2023,NE05 and NE06
Pair C,6/3/2023,8,22,6,2023,NE05 and NE06
Pair C,6/4/2023,8,22,6,2023,NE05 and NE06
Pair C,6/5/2023,8,23,6,2023,NE05 and NE06
Pair C,6/6/2023,8,23,6,2023,NE05 and NE06
Pair C,6/7/2023,8,23,6,2023,NE05 and NE06
Pair C,6/8/2023,8,23,6,2023,NE05 and NE06
Pair C,6/9/2023,8,23,6,2023,NE05 and NE06
Pair C,6/11/2023,8,23,6,2023,NE05 and NE06
Pair C,6/13/2023,8,24,6,2023,NE05 and NE06
Pair C,6/14/2023,8,24,6,2023,NE05 and NE06
Pair C,6/15/2023,8,24,6,2023,NE05 and NE06
Pair C,6/16/2023,8,24,6,2023,NE05 and NE06
Pair C,6/17/2023,8,24,6,2023,NE05 and NE06
Pair C,6/18/2023,8,24,6,2023,NE05 and NE06
Pair C,6/19/2023,8,25,6,2023,NE05 and NE06
Pair C,6/20/2023,8,25,6,2023,NE05 and NE06
Pair C,6/21/2023,8,25,6,2023,NE05 and NE06
Pair C,6/22/2023,8,25,6,2023,NE05 and NE06
Pair C,6/23/2023,8,25,6,2023,NE05 and NE06
Pair C,6/24/2023,8,25,6,2023,NE05 and NE06
Pair C,6/25/2023,8,25,6,2023,NE05 and NE06
Pair C,6/26/2023,8,26,6,2023,NE05 and NE06
Pair C,6/27/2023,8,26,6,2023,NE05 and NE06
Pair C,6/28/2023,8,26,6,2023,NE05 and NE06
Pair C,6/29/2023,8,26,6,2023,NE05 and NE06
Pair C,6/30/2023,8,26,6,2023,NE05 and NE06
Pair C,7/1/2023,8,26,7,2023,NE05 and NE06
Pair C,7/2/2023,8,26,7,2023,NE05 and NE06
Pair C,7/3/2023,8,27,7,2023,NE05 and NE06
Pair C,7/4/2023,8,27,7,2023,NE05 and NE06
Pair C,7/5/2023,8,27,7,2023,NE05 and NE06
Pair C,7/6/2023,8,27,7,2023,NE05 and NE06
Pair C,7/7/2023,8,27,7,2023,NE05 and NE06
